p1	p2	rg	p	p1_id	p2_id	id	method	q
../output_wrangling/output_pmid27989323_bNGF_eur.hdl.rds	../output_wrangling/output_pmid33310728_RA_eur.hdl.rds	0	NA	pmid27989323_bNGF_eur	pmid33310728_RA_eur	pmid27989323_bNGF_eur/pmid33310728_RA_eur	hdl	NA
../output_wrangling/output_pmid33310728_RA_eur.hdl.rds	../output_wrangling/output_pmid27989323_bNGF_eur.hdl.rds	0	NA	pmid33310728_RA_eur	pmid27989323_bNGF_eur	pmid33310728_RA_eur/pmid27989323_bNGF_eur	hdl	NA
../output_wrangling/output_pmid27989323_bNGF_eur.hdl.rds	../output_wrangling/output_pmid33987465_PD_eur.hdl.rds	0	NA	pmid27989323_bNGF_eur	pmid33987465_PD_eur	pmid27989323_bNGF_eur/pmid33987465_PD_eur	hdl	NA
../output_wrangling/output_pmid33987465_PD_eur.hdl.rds	../output_wrangling/output_pmid27989323_bNGF_eur.hdl.rds	0	NA	pmid33987465_PD_eur	pmid27989323_bNGF_eur	pmid33987465_PD_eur/pmid27989323_bNGF_eur	hdl	NA
../output_wrangling/output_pmid27989323_bNGF_eur.hdl.rds	../output_wrangling/output_pmid34737426_APH_eur.hdl.rds	0	NA	pmid27989323_bNGF_eur	pmid34737426_APH_eur	pmid27989323_bNGF_eur/pmid34737426_APH_eur	hdl	NA
../output_wrangling/output_pmid34737426_APH_eur.hdl.rds	../output_wrangling/output_pmid27989323_bNGF_eur.hdl.rds	0	NA	pmid34737426_APH_eur	pmid27989323_bNGF_eur	pmid34737426_APH_eur/pmid27989323_bNGF_eur	hdl	NA
../output_wrangling/output_pmid27989323_CTACK_eur.hdl.rds	../output_wrangling/output_pmid27989323_bNGF_eur.hdl.rds	0	NA	pmid27989323_CTACK_eur	pmid27989323_bNGF_eur	pmid27989323_CTACK_eur/pmid27989323_bNGF_eur	hdl	NA
../output_wrangling/output_pmid27989323_bNGF_eur.hdl.rds	../output_wrangling/output_pmid27989323_CTACK_eur.hdl.rds	0	NA	pmid27989323_bNGF_eur	pmid27989323_CTACK_eur	pmid27989323_bNGF_eur/pmid27989323_CTACK_eur	hdl	NA
../output_wrangling/output_pmid27989323_CTACK_eur.hdl.rds	../output_wrangling/output_pmid27989323_eotaxin_eur.hdl.rds	0	NA	pmid27989323_CTACK_eur	pmid27989323_eotaxin_eur	pmid27989323_CTACK_eur/pmid27989323_eotaxin_eur	hdl	NA
../output_wrangling/output_pmid27989323_eotaxin_eur.hdl.rds	../output_wrangling/output_pmid27989323_CTACK_eur.hdl.rds	0	NA	pmid27989323_eotaxin_eur	pmid27989323_CTACK_eur	pmid27989323_eotaxin_eur/pmid27989323_CTACK_eur	hdl	NA
../output_wrangling/output_pmid27989323_CTACK_eur.hdl.rds	../output_wrangling/output_pmid27989323_GCSF_eur.hdl.rds	0	NA	pmid27989323_CTACK_eur	pmid27989323_GCSF_eur	pmid27989323_CTACK_eur/pmid27989323_GCSF_eur	hdl	NA
../output_wrangling/output_pmid27989323_GCSF_eur.hdl.rds	../output_wrangling/output_pmid27989323_CTACK_eur.hdl.rds	0	NA	pmid27989323_GCSF_eur	pmid27989323_CTACK_eur	pmid27989323_GCSF_eur/pmid27989323_CTACK_eur	hdl	NA
../output_wrangling/output_pmid27989323_CTACK_eur.hdl.rds	../output_wrangling/output_pmid27989323_GROa_eur.hdl.rds	0	NA	pmid27989323_CTACK_eur	pmid27989323_GROa_eur	pmid27989323_CTACK_eur/pmid27989323_GROa_eur	hdl	NA
../output_wrangling/output_pmid27989323_GROa_eur.hdl.rds	../output_wrangling/output_pmid27989323_CTACK_eur.hdl.rds	0	NA	pmid27989323_GROa_eur	pmid27989323_CTACK_eur	pmid27989323_GROa_eur/pmid27989323_CTACK_eur	hdl	NA
../output_wrangling/output_pmid27989323_CTACK_eur.hdl.rds	../output_wrangling/output_pmid27989323_HGF_eur.hdl.rds	0	NA	pmid27989323_CTACK_eur	pmid27989323_HGF_eur	pmid27989323_CTACK_eur/pmid27989323_HGF_eur	hdl	NA
